,degree,lambda,MSE,R2
0,1.0,0.001,0.007311871234045221,0.9154120298520703
1,1.0,0.01,0.007311871234045221,0.9154120298520703
2,1.0,0.1,0.007311871234045221,0.9154120298520703
3,1.0,1.0,0.007311871234045221,0.9154120298520703
4,1.0,10.0,0.007311871234045221,0.9154120298520703
5,2.0,0.001,0.007311871234045221,0.9154120298520703
6,2.0,0.01,0.007311871234045221,0.9154120298520703
7,2.0,0.1,0.007311871234045221,0.9154120298520703
8,2.0,1.0,0.007311871234045221,0.9154120298520703
9,2.0,10.0,0.007311871234045221,0.9154120298520703
10,3.0,0.001,0.007311871234045221,0.9154120298520703
11,3.0,0.01,0.007311871234045221,0.9154120298520703
12,3.0,0.1,0.007311871234045221,0.9154120298520703
13,3.0,1.0,0.007311871234045221,0.9154120298520703
14,3.0,10.0,0.007311871234045221,0.9154120298520703
15,4.0,0.001,0.007311871234045221,0.9154120298520703
16,4.0,0.01,0.007311871234045221,0.9154120298520703
17,4.0,0.1,0.007311871234045221,0.9154120298520703
18,4.0,1.0,0.007311871234045221,0.9154120298520703
19,4.0,10.0,0.007311871234045221,0.9154120298520703
20,5.0,0.001,0.007311871234045221,0.9154120298520703
21,5.0,0.01,0.007311871234045221,0.9154120298520703
22,5.0,0.1,0.007311871234045221,0.9154120298520703
23,5.0,1.0,0.007311871234045221,0.9154120298520703
24,5.0,10.0,0.007311871234045221,0.9154120298520703
